一毛不拔,zdic解释
杞國之憂,比喻不必要的或缺乏根据的忧虑和担心
沉魚落鴈,魚、鳥不辨美醜，即使看見美女也同樣趕緊潛水高飛
肝心塗地,犹言肝脑涂地||形容竭尽忠诚，任何牺牲都在所不惜
芒刺在躬,像是有許多細小的芒刺沾在背上。||比喻因畏忌而極度不安。
言簡意該,形容说话写文章简明扼要||同“言简意赅”
走頭沒路,無路可走。||形容處境窘困
里談巷議,邻里街巷间人们的议论谈说||指民间的议论
並作威福,君主獨攬權勢，專行賞罰
事半功百,指做事得法，因而费力小，收效大
依人藩籬,比喻作品因襲循守舊，依託他人，不能自創一格
依本葫蘆,比喻一味模仿，毫無創見
坦東床腹,指當女婿，或指稱女婿
披肝掛膽,比喻赤誠相待，忠貞不二
披瀝肝膈,比喻真心相见，倾吐心里话||也形容非常忠诚
披瀝肝膽,比喻真心相见，倾吐心里话||也形容非常忠诚
放浪無羈,放纵任性，不加检点，不受约束
易韋三絕,本指孔子勤讀《易》，致使編竹簡的皮繩多次斷裂
明珠夜投,珍貴的寶珠落入不明價值的人手裡，而得不到賞識或珍愛。||比喻懷才不遇，高才屈居下位
朋比作仇,互相勾結做壞事
枉使心機,形容徒勞無功
枉轡學步,比喻错误地模仿别人
波平風靜,無風無浪
法無二門,指法律统一，前后一致，不能随意变通
空谷跫然,居於荒野，久處寂寞，聽到人的腳步聲就高興
花唇巧舌,形容虛假而動聽的言語
迎刃以解,比喻处理事情、解决问题很顺利||同“迎刃而解”
金戈鐵甲,比喻战争||也形容战士持枪驰马的雄姿
金戈鐵騎,比喻战争||也形容战士持枪驰马的雄姿
非馬非驢,比喻事物不倫不類
邯鄲之步,比喻模仿不成，反而失去自我
邯鄲匍匐,比喻盲目效仿以致失去自己原来的长处
邯鄲故步,比喻模仿不成，反而失去自我
信不由中,指所說的話不是發自於內心。||形容言詞與心意相違背
保殘守闕,固守舊有殘缺的經文不放
係風捕景,①比喻不可能做到的事||②比喻不露形迹
冠絕前後,比喻超越古今，無與倫比
前功必棄,指以前辛苦獲得的成果，全部廢棄
前功併棄,指以前辛苦獲得的成果，全部廢棄
咬牙恨齒,形容极端仇视或痛恨||也形容把某种情绪或感觉竭力抑制住||同“咬牙切齿”
垂首喪氣,形容因失败或不顺利而情绪低落、萎蘼不振的样子||同“垂头丧气”
屋下作屋,比喻机构或文章结构重叠||同“屋下架屋”
屋烏推愛,犹言爱屋及乌||比喻爱一个人而连带地关心到与他有关的人或物
帝女填海,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事||後用「精衛填海」比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
後來之雋,稱譽後輩中的優秀人物
怒髮沖冠,形容盛怒的樣子
怨囂載道,形容群眾普遍的怨恨和不滿
恍然始悟,猛然醒悟過來
既往不究,對過去的錯誤不再追究責難
流言飛語,毫无根据的话||指背后散布的诽谤性的坏话”
洽背汗流,指汗流很多，溼透了背部，本用以形容非常慚愧、驚恐的樣子
畏頭畏尾,形容疑慮顧忌，膽小怕事。||前也畏懼，後也畏懼
相得益章,指互相配合、补充、更能显出各自的长处
相遇如賓,形容夫妻間相處融洽，互相敬愛
背車而馳,行為不合情理，做事違反正道
胡作亂為,犹胡作非为||不顾法纪或舆论，毫无顾忌地做坏事
迥然不侔,指彼此不同，相差很大
面紅面赤,指双方因争执而变脸
面能乾唾,比喻逆來順受，寬容忍讓
風光月霽,指雨过天晴时明净清新的景象||亦比喻胸襟开阔、心地坦白
風雨漂搖,比喻局势动荡不安，很不稳定
風雨飄颻,比喻局势动荡不安，很不稳定
風雲叱咤,大聲怒喝，連風雲都為之變色。||形容威風凜凜，足以左右世局
倚馬才高,比喻文思敏捷，寫作迅速
倚馬雄才,比喻文思敏捷，寫作迅速
倒屣迎之,因急著迎接客人，而將鞋子穿倒了
冤禽銜石,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事||後用「精衛填海」比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
剛愎自任,指性情倔強，自以為是
原璧歸趙,用蔺相如完璧归赵的典故||指原物归还，并无损失
孫山之外,，名落於孫山之後，指參加考試或選拔沒有被錄取
家諭戶曉,家家户户都知道||形容人所共知||同“家喻户晓”
席不及煖,形容奔走極為忙碌，沒有休息的時候
席不暇煖,形容奔走極為忙碌，沒有休息的時候
息事甯人,原指為政不生事擾民
悚若木雞,木雞，木頭製成的雞，任何情況下皆紋風不動，比喻修養深厚、態度沈穩
悚然生敬,因受感動而莊嚴地興起欽佩恭敬之心
悚然起敬,因受感動而莊嚴地興起欽佩恭敬之心
捕風繫影,風和影子均無可捉摸，「捕風捉影」比喻所做的事或所說的話毫無根據，憑空揣測
捕影繫風,风和影子都是抓不着的||比喻说话做事丝毫没有事实根据
捉李代桃,李樹代替桃樹受蟲咬而枯死
捉風捕影,比喻虚幻无实或无根据地臆测
捉襟露肘,指整一整衣襟就露出肘子||形容衣衫褴褛||引申为顾此失彼，处境困难||亦形容书法生动而有气势
根深蔕固,比喻根基堅固，不可動搖
桂薪玉粒,指柴米昂贵
桃來李答,比喻互相酬赠
殊塗一致,比喻採取的方法雖不同，所得的結果卻相同
殊塗同致,比喻採取的方法雖不同，所得的結果卻相同
殊塗同會,比喻採取的方法雖不同，所得的結果卻相同
氣憤填胸,胸中充滿因正義而激起的憤怒。
涇渭自分,比喻界限清楚或是非分明
涇渭自明,比喻界限清楚或是非分明
涇渭斯明,涇水流入渭水時，清濁不混，界限分明
海乾石爛,一語因海枯石爛萬年難見，所以比喻歷時久遠。||又依常理，海不會枯，石不會爛，所以比喻意志堅定，永不改變。
浮光略影,比喻观察不细致，学习不深入，印象不深刻
狼籍盃盤,形容宴飲進行或結束時，杯盤散亂的情形
疾者先登,比喻行動最快者先達到目的
病在膏髓,原指病位深隱難治，病情危重，無藥可救||比喻人、事已到無可挽回的程度
疲於應命,犹言疲于奔命。
素餐尸位,空占着职位而不做事，白吃饭
紙上譚兵,在纸面上谈论打仗。||比喻空谈理论，不能解决实际问题。||也比喻空谈不能成为现实。
耿耿丹心,形容極為忠誠
袁宏倚馬,後用「倚馬可待」比喻文思敏捷，寫作迅速
託公報私,借公事报私怨
豺狼塞路,豺狼橫在道路中間，比喻壞人橫行作惡
豺狼橫道,比喻坏人当权
起死迴生,使瀕死的人復生
迴山倒海,形容力量巨大，氣勢壯闊
迴山轉海,转动山海||比喻力量巨大
迴喪起死,使瀕死的人復生
酒海花天,原指在美好的環境中飲酒作樂
除根翦草,比喻除去禍根，不留後患
隻手遮天,比喻玩弄權術、瞞上欺下的行徑
馬耳春風,比喻把别人的话当作耳边风
馬耳秋風,比喻充耳不聞、無動於衷
高風苦節,高尚的品格
高臺明鏡,後用「明鏡高懸」比喻官吏辦事明察無私，執法公正嚴明
高懸秦鏡,高挂能照见人心善恶的镜子||后用以比喻官吏断案公正，执法严明
鬥角鉤心,形容宮室建築的結構精緻巧妙
旂開得勝,戰旗一張開就得勝，形容一開戰就取得勝利
偃武行文,停止武事，振兴文教
偃武興文,停止武事，振兴文教
偕老百年,白頭」，白色的頭髮
動心驚魂,形容人內心感受極深，震撼很大
問花訪柳,出外遊賞春天的景色
問柳評花,比喻狎妓
堂間處燕,比喻身處危境而不自知，毫無警惕之心
將李代桃,比喻代人受罪或彼此顶替
彫蟲小藝,本指賦的寫作不足道
得不償喪,所得的利益抵偿不了所受的损失
情不自已,犹情不自禁||感情激动得不能控制||强调完全被某种感情所支配
情同意洽,彼此的感情和心意相契合
情猨意馬,比喻心思不專注集中
探湯蹈火,犹言赴汤蹈火||比喻不怕任何艰险
掩惡揚美,指对待别人讳言其过恶，称扬其好处
推陳易新,①排除陈旧的，生出新的来||指肌体内的新陈代谢||②泛指排除旧的，创出新的
推陳致新,①排除陈旧的，生出新的来||指肌体内的新陈代谢||②泛指排除旧的，创出新的
推愛屋烏,比喻愛一個人也連帶地關愛與他有關的一切
晚成大器,貴重的器物需要長時間才能完成
望洋驚歎,形容因驚奇而仰視發出驚嘆
望塵靡及,比喻远远落在后面
欲擒姑縱,比喻為了要使對方就範，故意先放鬆一步
殺人如蒿,形容杀的人多得数不清
深根固蔕,比喻根基堅固而不動搖
深慮遠計,計畫周密而慮事深遠
盛氣陵人,指用傲慢的氣勢壓迫別人
眾射之的,指眾人射箭的靶子||比喻眾人一致攻擊的目標
眼光如炬,眼光火炬般光亮，形容人怒視
眼高手拙,比喻要求標準高，而實行能力低。
移風改俗,改变旧的风俗习惯
移風易尚,改变旧的风俗习惯
移風革俗,改变旧的风俗习惯
移罇就教,帶著酒壺移坐到他人席上共飲，以便請教
粗株大葉,比喻疏略，做事不細密。||亦用於比喻大體的輪廓。
終于正寢,指男子享盡天年，在家中自然死亡
連床各㝱,睡在同一張床上但各做各的夢，比喻共同生活或一起做事的人意見不同，各有各的打算
連篇累冊,形容篇幅过多，文辞冗长
連篇累帙,形容篇幅过多，文辞冗长
連篇累幀,形容篇幅过多，文辞冗长
逐末捨本,追求细枝末节，舍弃事物根本的、主要的部分
逢場遊戲,犹言逢场作戏||偶尔凑凑热闹
都中紙貴,形容别人的著作受人欢迎，广为流传
野人奏曝,比喻微薄的贡献
陳倉暗度,比喻出其不意、從旁突擊的戰略||後用「暗度陳倉」比喻暗中進行的活動，亦用於比喻男女私通
雪風花月,指四時美好的景色
雪裡送炭,比喻在别人急需时给以物质上或精神上的帮助
魚池之殃,指禍連池中魚||比喻無故受到牽累
魚沈鴈落,魚、鳥不辨美醜，即使看見美女也同樣趕緊潛水高飛
魚游沸釜,鱼在锅里游||比喻处境十分危险，有行将灭亡之虞
魚遊沸鼎,鱼在锅里游||比喻处境十分危险，有行将灭亡之虞
魚遊釜內,鱼在锅里游||比喻处境十分危险，有行将灭亡之虞
魚遊釜底,鱼在锅里游||比喻处境十分危险，有行将灭亡之虞
麻痺不仁,对外界事物反应迟钝或没有感情
埳井之蛙,废井里的青蛙||比喻见识不多的人
傍人籬落,比喻依赖他人
傍觀縮手,形容置身事外，不予過問
博覽五車,指读书多，学识渊博
尋花覓柳,原指赏玩春天的景色||后旧小说用来指宿娼
惡勞樂佚,貪圖安逸而不願勞動
惡聲狼籍,指肆意妄為，名聲惡劣
惠施五車,形容人書讀很多，學識廣博
掣衿露肘,形容人衣衫破敗，才抓住衣襟蔽胸，又露出了手肘
揭竿為旗,高舉竹竿作為號召、指揮群眾的旗幟||本指秦末陳涉倉促起義，反抗暴秦的事跡
揮毫立馬,後用「倚馬可待」比喻文思敏捷，寫作迅速
棟充牛汗,形容書籍極多
游魚得水,如魚游水之姿，比喻筆法的靈活
無孔不鑽,比喻善于钻营
無地可容,指无处藏身，形容慌乱、羞愧至极，处境窘迫
無妄之憂,平白无故遭灾的忧虑
無有倫比,没有比得上
無所措手,形容没有办法，不知如何是好
無脛而走,犹无胫而行||常以喻良才不招而自至爱贤者之门
結舌瞠目,形容吃驚、受窘的樣子
街談巷諺,大街小巷里人们的议论||指民间的舆论
街譚巷議,大街小巷里人们的议论||指民间的舆论
酣鴆止渴,飲毒酒以解渴。||比喻只求解決眼前困難，而不顧將來更大的禍患
開布誠信,比喻誠意待人，坦白無私
黃粱一夢,比喻虚幻不能实现的梦想
黃鐘長棄,比喻贤才不用
亂作蕭牆,比喻禍亂發生於內部
剷草除根,比喻除去禍根，不留後患
塞耳盜鐘,比喻自欺欺人，硬要掩盖掩盖不了的事情
塞源端本,比喻澈底改革以解決問題
意氣干雲,形容志氣高遠
感極涕零,感激之极而流下眼泪||形容极为感激
愛莫助之,指內心雖然同情，想要幫助卻無能為力
搜攪枯腸,搜尋枯空的肚腸
楚歌四面,比喻四面被围，陷入孤立危急的困境
當路豺狼,豺狼橫在道路中間，比喻壞人橫行作惡
萬貫纏腰,指身上有大筆的錢財||比喻財富極多
義不容卻,道義上不容許推卻
義無返顧,秉持正義，勇往直前，絕不退縮
群龍无首,群龍出現，卻無領袖||比喻一群人中缺乏領導者
腰纏十萬,指身上有大筆的錢財||比喻財富極多
腳踹實地,比喻做事切實穩健
腹心之憂,形容致命的禍患或隱藏在內部的危害
落鴈沉魚,魚、鳥不辨美醜，即使看見美女也同樣趕緊潛水高飛
葫蘆畫樣,比喻一味模仿，毫無創見
載塗怨讟,形容群眾普遍的怨恨和不滿
辟君三舍,指作戰時，將部隊往後撤退九十里
遊魚在鼎,指魚在鍋中游動||比喻身處險境，危在旦夕
達權應變,指不墨守常規，根據實際情況作適當的處置
遏斷行雲,形容歌聲響亮高妙
過隙之駒,指快馬從縫隙一下子就奔馳過去。||比喻時間過得很快
隔靴抓痒,比喻说话作文不中肯，不贴切，没有抓住要点||或做事没有抓住关键||同“隔靴搔痒”
隔靴搔痒,隔着靴子搔痒痒||比喻说话作文不中肯，不贴切，没有抓住要点||或做事没有抓住关键
電捲風馳,指像風那樣奔跑，像電光那樣急閃而過||形容速度極快
鼎食鳴鐘,击钟列鼎而食||形容贵族的豪华生活排场
跫然之音,居於荒野，久處寂寞，聽到人的腳步聲就高興
壽陵忘步,比喻模仿不成，反而失去自我
夢寐魂求,形容願望強烈而迫切
夢筆花生,比喻才思泉湧、文筆富麗
夢熟黃粱,指唐代盧生投宿旅店，店主正蒸黃粱時，盧生作了一場富貴夢，醒時黃粱都未蒸熟的故事||比喻榮華富貴如夢般短暫而虛幻，且終歸泡影
夢覺黃粱,指唐代盧生投宿旅店，店主正蒸黃粱時，盧生作了一場富貴夢，醒時黃粱都未蒸熟的故事||比喻榮華富貴如夢般短暫而虛幻，且終歸泡影
對病用藥,指針對病症開方用藥||比喻針對癥結所在，做有效的處理
對證下藥,比喻针对事物的问题所在，采取有效的措施||同“对症下药”
對證用藥,指針對病症開方用藥||比喻針對癥結所在，做有效的處理
弊帚自珍,对自家的破旧扫帚，也看作很珍贵||比喻对己物的珍视
慣養嬌生,在備受寵愛縱容中成長
摧朽拉枯,摧折枯朽的草木||形容轻而易举||也比喻摧毁腐朽势力的强大气势
漂搖風雨,受風雨的吹打而搖晃
滿臉春風,形容心情喜悦，满脸笑容
禍生蕭牆,比喻禍亂發生於內部
管中闚天,透過竹管看天，僅見天的一小部分。||比喻見識片面而狹窄
精禽填海,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事|比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
精衛塞海,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事|比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
精衛銜木,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事|比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
精衛銜石,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事|比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
精衛銜薪,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事|比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
綵筆生花,比喻才思有很大的进步
蒼狗白雲,比喻事物变幻无常
誤學邯鄲,比喻模仿不成，反而失去自我
銜石冤禽,本指炎帝幼女女娃溺死東海，化為精衛鳥，憤而銜木石以填東海的故事|比喻心懷冤憤，立志報仇||亦比喻意志堅定，不懼艱苦
銜石填海,比喻为实现既定目标，坚韧不拔地奋斗到底
銜沙填海,犹言衔石填海||比喻为实现既定目标，坚韧不拔地奋斗到底
魂銷魄散,魂魄離開身體，形容非常恐懼害怕
魂飄魄散,形容惊恐万状
價抵連城,後用「價值連城」形容物品十分珍貴
影不離形,形容關係密切，不能分開
影隻形單,犹形单影只||只有自己的身体和自己的影子||形容孤独，没有同伴
影單形隻,指身形與影子都是孤獨的||形容孤單無伴
德邵年高,指年紀大而品德好
慮遠謀深,計畫周密而慮事深遠
憂心如惔,形容非常焦急憂慮
憤時嫉俗,憤恨不合理的社會現狀，憎恨邪惡的勢力
撞鐘鼎食,古代富貴人家吃飯時，擊鐘為號，列鼎而食。||形容富貴之家的奢侈豪華
數行並下,形容閱讀速度的快速
暴虎憑河,指不用武器，空手與虎搏鬥
樓臺近水,比喻占得地利之便，先得機會
樂業安居,愉快地从事自己的职业，过着安定的生活||形容生活、生产、思想状况安定正常
樂極生哀,欢乐到了极点，将转而发生悲伤的事
樂極災生,歡樂到了極點，往往會轉生悲哀
樂極哀來,欢乐到了极点，将转而发生悲伤的事
樂盡哀生,犹言乐极生悲||欢乐到了极点，将转而发生悲伤的事
潛濡默被,犹潜移默化||指人的思想或性格不知不觉受到感染、影响而发生了变化
穀馬礪兵,犹言秣马厉兵
衝口成章,從口中說出的話有章法有文理
論定棺蓋,人一生的是非功過，要到死後才能論定
踞虎盤龍,形容地势雄伟壮丽
餘響遶梁,形容歌声优美，给人留下难忘的印象。
髮上衝冠,犹言发上指冠||形容极度愤怒
彊弩之末,強勁弓弩所射出的箭，到射程盡頭，已經沒有力道。||比喻原本強大的力量已經衰竭，不能再發揮效用
據隴望蜀,指平定隴西之後，又想進軍蜀地
樽俎折衝,指不以武力而在宴席交谈中制胜敌人||后泛指外交谈判活动||折冲，使敌人战车后撤，指击退敌军
瞠乎後已,犹言瞠乎其后
瞠目作舌,"眼睛瞪得大大的,一时语塞。||形容惊骇的样子"
瞠目撟舌,"眼睛瞪得大大的,一时语塞。||形容惊骇的样子"
磨杵作針,形容只要肯下功夫，再难的事也能成
積重難反,经过长时间形成的思想作风或习惯，很难改变
興高彩烈,原指文章志趣高尚，言词犀利||后多形容兴致高，精神饱满
蕭牆之變,比喻禍亂發生於內部
駭人聞見,使人目见耳闻感到震惊
駭人聞聽,使人听了非常吃惊、害怕
默化潛移,指人的思想或性格不知不觉受到感染、影响而发生了变化
應接無暇,形容景物繁多，來不及觀賞
應答如響,对答有如回声||形容答话敏捷流利
擊鐘陳鼎,击钟列鼎而食||形容贵族的豪华排场
擊鐘鼎食,打钟列鼎而食||形容贵族或富人生活奢华
擢髮不勝,指把頭髮拔盡，也無法用以計數所犯的罪行||形容罪狀極多，難以計數
擢髮莫數,拔下全部头发，也难以数清||形容罪行多得数不清
擢髮數罪,指把頭髮拔盡，也無法用以計數所犯的罪行||形容罪狀極多，難以計數
聳動聽聞,"故意说夸大或奇特的话,使人听了震惊"
虧於一簣,比喻事情只差最後一步，卻因未能堅持到底而前功盡棄
螳臂拒輪,指螳螂立於車道中，舉起雙臂，妄想要阻擋車子前進||比喻不自量力
避重逐輕,指避开较重的责任，拣轻的承担
還童返少,由衰老恢復年輕
隱天動地,形容聲音很大
歛襟危坐,形容莊重誠敬的樣子
闇度陳倉,比喻出其不意、從旁突擊的戰略||後用「暗度陳倉」比喻暗中進行的活動，亦用於比喻男女私通
斷章取意,指不顾全篇文章或谈话的内容，孤立地取其中的一段或一句的意思
曜威燿武,指炫耀武力，誇示威風
璧合珠聯,比喻众美毕集，相得益彰
蟲篆小技,本指賦的寫作不足道
蟠根錯節,犹言盘根错节
豐食美衣,形容生活富裕
離鄉避井,指離開故鄉，在外地生活
雞犬無寧,比喻被嚴重騷擾
雞群之鶴,比喻人的儀表才能超群脫凡
雞群鶴立,比喻人的儀表才能超群脫凡
雞鳴起舞,指胸怀大志、及时奋发的豪壮气概
雞膚鶴髮,皮肤发皱，头发苍白||指老人||同“鸡皮鹤发”
鞭約近裡,指研究學問要自我鞭策，深入精微之處
鞭辟著裡,指研究學問要自我鞭策，深入精微之處
鞭擗向裡,指研究學問要自我鞭策，深入精微之處
壞法婪贓,指貪汙受賄，破壞法紀
攀龍託鳳,犹言攀龙附凤
瀝血披肝,比喻竭尽忠诚、恳挚的心意
識塗老馬,老马认识路||比喻对某种事物十分熟悉的人
難起蕭牆,比喻禍亂發生於內部
觸面崩心,目光所及，令人內心深受衝擊
觸景生懷,看見眼前景象而引發內心種種情緒
饑者無擇,飢餓的人不選擇食物
爛熳天真,形容心地纯真，不虚伪做作
護過飾非,掩护错误、文饰过失
辯同河瀉,說起話來像瀑布一樣滔滔不絕，比喻能言善辯
囊空羞澀,晉阮孚因囊袋無錢而感羞澀
襲人牙慧,牙慧，言談間流露出的智慧
竊鐘掩耳,自欺欺人
驚心駭矚,指看到后内心感到震惊
驚蛇打草,比喻某甲受到懲戒，而使某乙、丙等知所警惕
鷸蚌相危,比喻双方相持不下，而使第三者从中得利
鷸蚌相鬥,比喻双方相持不下，而使第三者从中得利
驥老伏櫪,比喻人雖年老，仍懷雄心壯志
鑿空指鹿,比喻故意颠倒黑白、混淆是非
驩欣鼓舞,歡樂興奮的樣子
麤枝大葉,谓文字或话语简略概括
攧撲不碎,比喻理論真確可靠，永遠不能被改易或推翻
渾掄吞棗,比喻笼统地接受，不加分析，食而不化
如花似玉,像花和玉那样美好||形容女子姿容出众
如狼似虎,象狼和虎一样凶狠||比喻非常凶暴残忍
吟風弄月,旧指文人写作或朗诵以风月等自然景色为题材的作品||现多形容作品空虚无聊
姑息養奸,无原则地宽容，只会助长坏人作恶
放浪形骸,指行动不受世俗礼节的束缚
不念舊惡,不计较过去的怨仇
我行我素,不管人家怎样说，仍旧按照自己平素的一套去做
弔民伐罪,慰问受苦的人民，讨伐有罪的统治者
毀家紓難,捐献所有家产，帮助国家减轻困难
五世其昌,五世之后，子孙昌盛||旧时用于祝人新婚
日暮途窮,天已晚了，路已走到了尽头||比喻处境十分困难，到了末日||也形容穷困到极点
呼天搶地,大声叫天，用头撞地||形容极度悲伤
錦衣玉食,精美的衣食||形容豪华奢侈的生活
作姦犯科,为非作歹，触犯法令
好為人師,喜欢当别人的教师||形容不谦虚，自以为是，爱摆老资格
作奸犯科,为非作歹，触犯法令
眉目清秀,形容面貌清秀俊麗
利己損人,为了使自己得到好处而损害别人利益
損人益己,犹损人利己||损害别人，使自己得到好处
損己利人,损害自己，使别人得利
損己益人,使別人蒙受損失而讓自己得到利益
損人肥己,犹损人利己||损害别人，使自己得到好处
眉清目朗,见“ 眉清目秀 ”
清眉秀目,形容面貌清秀俊麗
目秀眉清,形容面貌清秀俊麗
眉彎目秀,形容面貌清秀俊麗
眉目清明,形容面貌清秀俊麗
苗而未秀,比喻人的資質雖好，但始終沒有成就
後日方長,將來的日子還很長
來日正長,將來的日子還很長
苗而不穗,比喻人的資質雖好，但始終沒有成就
瑕不揜瑜,比喻缺点掩盖不了优点，缺点是次要的，优点是主要的
瑕不掩瑜,比喻缺点掩盖不了优点，缺点是次要的，优点是主要的
瑕不自揜,指玉上的斑點與光澤同時出現
瑕瑜不掩,指玉上的斑點與光澤同時出現
直上青雲,比喻官运亨通，直登高位
青霄直上,指迅速升到很高的地位
青臉獠牙,形容面容非常凶惡可怕
惹草拈花,比喻男女调情||多指调戏妇女
粘花惹草,比喻到处留情，多指男女间的挑逗引诱
惹草粘花,比喻男子在外挑逗、勾搭女子，到處留情
弄草拈花,比喻男子在外挑逗、勾搭女子，到處留情
拈花摘草,比喻男子在外挑逗、勾搭女子，到處留情
招花惹草,指挑逗、勾引女子
惹草沾花,比喻男女调情||多指调戏妇女
惹草黏花,比喻男子在外挑逗、勾搭女子，到處留情
碩果不食,沒被摘食而留下來的大果實
碩果猶存,沒被摘食而留下來的大果實
碩果天留,沒被摘食而留下來的大果實
碩果天遺,沒被摘食而留下來的大果實
牽腸惹肚,腸」、「肚」借指心思||比喻十分掛念，放心不下
牽腸割肚,①形容非常想念||②形容内心悲痛如刀割
掛肚牽心,形容忧虑不安的心情
割肚牽腸,形容非常牵挂，很不放心
挂肚牽腸,极言牵挂，挂念
牽腸挂肚,形容十分惦念，放心不下
掛肚牽腸,极言牵挂，挂念
繫肚牽腸,借指心思||比喻十分掛念，放心不下
懸腸掛肚,形容挂念之深切
同心一力,团结一致，共同努力
同心并力,团结一致，共同努力
協力同心,团结一致，共同努力
並力同心,團結一致，共同努力
同心合力,团结一致，共同努力
併力同心,團結一致，共同努力
年少老成,年紀雖輕，舉止卻成熟穩重，辦事老練
舉眼無親,抬起眼睛，看不见一个亲人。||比喻单身在外，人地生疏。
舉目無依,指孤單無依
負老攜幼,背着老人，带着孩子||形容百姓全体出动，流离失所的悲惨情景
攜幼扶老,搀着老人，领着小孩||同“扶老携幼”
扶老將幼,指男女老幼全體出動的情況
負老提幼,形容百姓全体出动，流离失所的悲惨情景
錦心繡腑,比喻心思精巧，能寫出華美的作品
錦心繡腸,形容文思优美，聪明有才
錦腸繡舌,比喻心思精巧，能寫出華美的作品
錦心繡腹,形容优美的文思，华丽的辞藻
錦繡心腸,意思是满腹诗文，善出佳句||同“锦绣肝肠”
繡口錦心,锦、绣：精美鲜艳的丝织品||形容文思优美，词藻华丽
牢不可拔,形容事情或觀念已經固定，難以改變
牢不可解,形容事情或觀念已經固定，難以改變
蓬戶增光,比喻他人所贈之物或貴客之來訪令人倍感光彩
蓬蓽生光,比喻他人所贈之物或貴客之來訪令人倍感光彩
蓬甕生輝,比喻他人所贈之物或貴客之來訪令人倍感光彩
輝生蓬蓽,比喻他人所贈之物或貴客之來訪令人倍感光彩
蓬屋生輝,比喻他人所贈之物或貴客之來訪令人倍感光彩
蓬蓽增輝,比喻他人所贈之物或貴客之來訪令人倍感光彩
延壽益年,拉長歲數，增加壽命||多作為頌祝人長壽的用詞
延齡增壽,拉長歲數，增加壽命||多作為頌祝人長壽的用詞
益壽延齡,拉長歲數，增加壽命||多作為頌祝人長壽的用詞
益壽延年,指延长寿命，增加岁数
譁世取寵,犹言哗众取宠||以浮夸的言论迎合群众，骗取群众的信赖和支持
取寵譁世,用迎合眾人喜好的言語行動，博取他人對自己的喜愛
束手待盡,比喻危難時不想辦法解決，坐等敗亡
束手受斃,比喻遇到困难不积极想办法，坐着等失败。
束手待死,比喻遇到困难不积极想办法，坐着等失败
龍淵虎穴,指龍蛇潛伏的深淵，老虎藏身的洞穴
虎窟龍潭,龙居住的深水潭，虎栖身的巢穴||比喻极其凶险的地方
龍潭虎窟,龙居住的深水潭，虎栖身的巢穴||比喻极其凶险的地方
虎穴龍潭,龙潜居的深水坑，老虎藏身的巢穴||比喻极险恶的地方
臨河欲魚,比喻空有愿望，而无实际行动。
臨川羨魚,比喻空有愿望，而无实际行动
臨河羨魚,比喻空有愿望，而无实际行动
羨魚結網,比喻雖有欲望，卻沒有實際行動
臨淵之羨,比喻雖有欲望，卻沒有實際行動
臨淵結網,比喻平时不作准备，事到临头才采取措施
恢廓大度,心胸开阔，气量宏大，不计较个人的利害得失
宏達大度,形容心胸寬闊、度量宏大，能容人
寬仁大度,为人宽厚，心胸豁达
寬洪大度,指待人宽厚，度量大，能容人||同“宽宏大度”
大度豁達,形容心胸寬闊、度量宏大，能容人
恢宏大度,心胸开阔，气量宏大
有始有卒,指做事能贯彻始终，坚持到底
乘龍佳壻,比喻好女壻
乘龍女壻,比喻好女婿
乘龍之客,比喻好女婿
快婿乘龍,比喻好女婿
牝雞牡鳴,母鸡报晓||旧时比喻妇女窃权乱政
牝雞晨鳴,母鸡报晓||旧时比喻妇女窃权乱政
牝雞司旦,母鸡报晓||旧时比喻妇女窃权乱政
司晨牝雞,比喻女性當權
冰潔淵清,犹冰清玉洁
淵清玉潔,比喻品行高潔磊落
冰清玉粹,比喻德行高洁
玉潔冰清,象玉那样洁白，象冰那样清净||形容人心地纯洁，品行端正
冰潔玉清,比喻德行高洁
不期而會,①未经约定而意外地遇见||②未经约定而自动聚集
形影自憐,看著自己的形影，想到自己的遭遇，自我憐憫
弔影自憐,看著自己的形影，想到自己的遭遇，自我憐憫
隻影自憐,看著自己的形影，想到自己的遭遇，自我憐憫
好大喜誇,好大」，喜愛做大事
侈功好大,好大」，喜愛做大事
喜功好大,好大」，喜愛做大事
近朱者赤,靠近朱砂容易被染成紅色，靠近黑墨則容易被染成黑色
