爱不释手,喜爱得舍不得放手
金玉良言 ,比喻可贵而有价值的劝告
孔孟之道 ,指儒家学说
刻苦耐劳 ,工作勤奋，经得住繁重的劳累
寿比南山 ,寿命象终南山那样长久||用于祝人长寿
君子协定 ,双方不经过书面签字，只以口头承诺或交换函件而订立的协定，它与书面条约具有同等的效力
青云直上 ,指迅速升到很高的地位
白日做梦 ,大白天做梦||比喻根本不能实现的梦想
口服心服 ,心里嘴上都信服||指真心信服
闻风而至 ,一听到消息就来||形容行动迅速
梁上君子 ,躲在梁上的君子||窃贼的代称||现在有时也指脱离实际、脱离群众的人
上下同欲 ,上下有共同的愿望，谓众心齐一
不打自招 ,旧指没有用刑就招供||比喻做了坏事或有坏的意图自我暴露出来
朝野上下 ,指从中央到地方，从做官的到老百姓
天造地设 ,指事物自然形成，合乎理想，不必再加人工
文武兼备 ,同时具有文才和武才，文武双全
报仇雪恨 ,报冤仇，除仇恨
事业有成 ,学业有成就 
残羹剩饭 ,学业有成就 
福禄寿喜 ,代表着幸福、财富、长寿和喜庆
锐不可当 ,形容勇往直前的气势，不可抵挡
悲喜交集 ,悲伤和喜悦的心情交织在一起
一脉相传 ,从同一血统、派别世代相承流传下来||批某种思想、行为或学说之间有继承关系
名闻天下 ,形容声名传播得很广
人不犯我 ,如果别人不侵犯我，我也不会去侵犯别人
旧地重游 ,重新来到曾经居住过或游览过的地方
如芒在背 ,形容极度不安
极乐世界 ,佛教指阿弥陀佛居住的地方||后泛指幸福安乐的地方
当局者迷 ,指当事人反而糊涂
命在旦夕 ,生命垂危，很快会死去
亲仁善邻 ,与邻者亲近，与邻邦友好
插翅难逃 ,插上翅膀也难逃走||比喻陷入困境，怎么也逃不了
立锥之地 ,插锥尖的一点地方||形容极小的一块地方||也指极小的安身之处
兵贵神速 ,用兵贵在行动特别迅速
三阳开泰 ,《周易》称爻连的为阳卦，断的为阴爻，正月为泰卦，三阳生于下||冬去春来，阴消阳长，有吉亨之象||常用以称颂岁首或寓意吉祥
笨鸟先飞 ,行动笨拙的鸟要先飞||比喻能力差的人怕落后，做事比别人先动手
棋逢对手 ,下棋遇到对手||比喻争斗的双方本领不相上下
有凭有据 ,既有凭证，又有依据
要死要活 ,形容闹得很凶
傲慢无礼 ,态度傲慢，对人不讲礼节
逆耳之言 ,听起来不舒服的话（多指尖锐、中肯的劝告或批评）
壁立千仞 ,形容岩石高耸
郎才女貌 ,男的有才气，女的有美貌||形容男女双方很相配
风韵犹存 ,形容中年妇女仍然保留着优美的风姿
单刀赴会 ,原指蜀将关羽只带一口刀和少数随从赴东吴宴会||后泛指一个人冒险赴约||有赞扬赴会者的智略和胆识之意
英雄豪杰 ,指才能超众或勇武超群的人
出人意表 ,出乎人们意料之外
诛心之论 ,指不问罪行，只根据其用心以认定罪状||也指揭穿动机的评论
流年不利 ,指人长年里处于不吉利的状态||谓时运不佳
三省吾身 ,原指每日从三个方面检查自己，后指多次自觉地检查自己
色胆包天 ,形容贪恋淫欲胆量很大
精神百倍 ,形容特别有精神
外柔内刚 ,外表柔和而内心刚正
比上不足 ,赶不上前面的人，但超过了后面的人
谈古论今 ,从古到今无所不谈，无不评论
近朱者赤 ,靠近朱砂的变红
一命呜呼 ,指人死亡
逐鹿中原 ,指群雄并起，争夺天下
至亲好友 ,关系至深的亲戚，感情最好的朋友
排斥异己 ,排挤、清除和自己意见不同或不属于自己集团派系的人
暴露目标 ,目标暴露出来
分文未取 ,一个钱也不要||比喻不计报酬
定国安邦 ,治理和保卫国家，使国家安定稳固
林林总总 ,形容众多
江山如画 ,山川、河流美如画卷||形容自然风光美丽如图画
甘苦与共 ,共同享受欢乐与幸福，共同承担痛苦与磨难
久病成医 ,病久了对医理就熟悉了||比喻对某方面的事见识多了就能成为这方面的行家
败絮其中 ,外表华美，而里面却一团糟
承先启后 ,继承前代的，启发后代的
盗亦有道 ,盗贼也有他们的那一套道理
变动不居 ,指事物不断变化，没有固定的形态
同声相应 ,同类的事物相互感应||指志趣、意见相同的人互相响应，自然地结合在一起
凄风苦雨 ,形容天气恶劣||后用来比喻境遇悲惨凄凉
好人难做 ,做一个正直的、不干坏事的人实在不容易
遗世独立 ,脱离社会独立生活，不跟任何人往来
出水芙蓉 ,刚开放的荷花||比喻诗文清新不俗||也形容天然艳丽的女子
将功补过 ,用功劳来补偿过错
言之成理 ,话说得有一定道理
七老八十 ,形容年纪很大
笔走龙蛇 ,形容书法生动而有气势
从恶如崩 ,指为恶如山崩那样容易
挂免战牌 ,停止或避免冲突的行为
种豆得豆 ,比喻做了什么事，得到什么样的结果
长篇累牍 ,篇幅很长，内容很多
苦乐不均 ,同样的人享受的待遇却不相同||形容待遇不相等
满天星斗 ,布满天空的星星||比喻事情多而杂乱||后形容文章华美
心中无数 ,指对情况了解不清楚，心里没有底
心怀叵测 ,指存心险恶，不可推测
万夫莫开 ,山又高又险，一个人把着关口，一万个人也打不进来。形容地势十分险要。
怒气冲天 ,怒气冲上天空||形容愤怒到极点
手到病除 ,刚动手治疗，病就除去了||形容医术高明||也比喻工作做得很好，解决问题迅速
鹰击长空 ,指雄鹰振翅飞翔于辽阔的天空||亦比喻有雄心壮志的人在广阔的领域中施展自己的才能
民为邦本 ,民众是国家的根本
同声同气 ,比喻亲密无间，志趣相合
红袖添香 ,美女伴读
人财两失 ,人和钱财都无着落或都有损失
不可企及 ,没有希望达到||形容远远赶不上
一面之交 ,只见过一面的交情||比喻交情很浅
零打碎敲 ,形容以零零碎碎、断断续续的办法做事
坐失良机 ,不主动及时行动而失去好机会
饶有兴味 ,令人感到很有趣，并十分注意
从谏如流 ,听从规劝像流水一样自然||形容乐于接受别人的批评意见
铸剑为犁 ,销熔武器以制造务农器具
死皮赖脸 ,形容厚着脸皮，胡搅蛮缠
胼手胝足 ,胼、胝：老茧||手脚上磨出老茧||形容经常地辛勤劳动
暗送秋波 ,旧时比喻美女的眼睛象秋天明净的水波一样||指暗中眉目传情
古圣先贤 ,古代的圣人贤者
天理不容 ,旧指做事残忍，灭绝人性，为天理所不容
舐犊情深 ,比喻对子女的慈爱
飞龙在天 ,比喻帝王在位
恩重如山 ,恩情深厚，像山一样深重
无牵无挂 ,形容没有拖累，非常放心
感慨万端 ,因深有感触而有许多慨叹
诚心实意 ,形容十分真挚诚恳
坚贞不渝 ,坚守节操，决不改变
先人后己 ,首先考虑别人，然后想到自己
金玉其外 ,外表华美，而内里却一团糟，比喻徒有其表
在所不辞 ,决不推辞（多用在冒险犯难）
惟利是图 ,一心为利，别的什么都不顾
正经八百 ,①正经的，严肃认真的||②犹名副其实
良药苦口 ,好药往往味苦难吃||比喻衷心的劝告，尖锐的批评，听起来觉得不舒服，但对改正缺点错误很有好处
修齐治平 ,泛指伦理哲学和政治理论
怒目而视 ,睁圆了眼睛瞪视着||形容正要大发脾气的神情
大有所为 ,某件事物或某个领域具有巨大的潜力和发展前景，值得投入和探索
图财害命 ,为了劫夺财物，害人性命
女大当嫁 ,指女子成年后须及时出嫁
池鱼之殃 ,比喻受牵连而遭到的祸害
壮心不已 ,指有抱负的人到了晚年，雄心壮志仍不衰减
轻歌曼舞 ,音乐轻快，舞姿优美
没头没脑 ,头、脑：比喻线索或根由||毫无线索或没有根由
不知深浅 ,原意是不知道水的深浅||后多用以形容不懂得事情的利害
全心全力 ,集中或用尽所有的心力
难如登天 ,形容难办的事
赌咒发誓 ,庄严地说出表示决心的话或对某事提出保证
一介书生 ,旧时读书人的自称或对普通读书人的雅称
男大当婚 ,指男子万年后必须娶妻
重峦叠嶂 ,山峰一个连着一个，连绵不断
杀人越货 ,害人性命，抢人东西||指盗匪的行为
草船借箭 ,运用智谋，凭借他人的人力或财力来达到自己的目的
罪责难逃 ,指不能逃避犯罪所应负的责任，一定要受到惩处
奋勇当先 ,鼓起勇气，赶在最前面
博古通今 ,对古代的事知道得很多，并且通晓现代的事情||形容知识丰富
从善如登 ,指为善如登山那样不易，比喻学好很难
心怀忐忑 ,心神不宁的样子||指因心虛或忧虑而不能安心
看破红尘 ,旧指看透人生，把生死哀乐都不放在心上的消极的生活态度||现也指受挫折后消极回避、无所作为的生活态度
梨花带雨 ,象沾着雨点的梨花一样||原形容杨贵妃哭泣时的姿态||后用以形容女子的娇美
男欢女爱 ,男女亲昵欢爱之词
闯荡江湖 ,指奔走四方，在外谋生
以攻为守 ,以进攻作为防御的手段
丢卒保车 ,原是象棋术语||后比喻丢掉次要的，保住主要的
爬山涉水 ,形容路途艰辛
一文不名 ,一个钱都没有||形容非常贫困
苛捐杂税 ,指反动统治下苛刻繁重的捐税
心乱如麻 ,心里乱得象一团乱麻||形容心里非常烦乱
喷薄欲出 ,形容水涌起或太阳初升时涌上地平线的样子
半丝半缕 ,半根丝，半缕线||形容数量少，价值极其微小的东西
变幻无穷 ,变化多种多样，没有穷尽||极言变化之多
积沙成塔 ,比喻积少成多
目不斜视 ,眼睛不偷看旁边||比喻为人行止端方||也形容只朝一个方向看
心细如发 ,极言小心谨慎，考虑周密
乌七八糟 ,形容十分杂乱
黄雀在后 ,比喻伺机从后面袭击，也比喻有后顾之忧
春和景明 ,春光和煦，风景鲜明艳丽
攻无不克 ,没有攻占不下来的||形容力量无比强大
金无足赤 ,比喻人也不能十全十美
戒急用忍 ,遇事不要急躁，要以宽忍的态度来对待和处理
钟灵毓秀 ,凝聚了天地间的灵气，孕育着优秀的人物||指山川秀美，人才辈出
半斤八两 ,一个半斤，一个八两||比喻彼此一样，不相上下
生生死死 ,犹言一辈子||指从生至死
土豪劣绅 ,旧社会有钱有势、横行乡里的人
跳梁小丑 ,比喻猖狂捣乱而成不了大气候的坏人
略见一斑 ,比喻大致看到一些情况，但不够全面
相貌堂堂 ,形容人的仪表端正魁梧
蔚成风气 ,指一件事情逐渐发展盛行，形成一种良好风气
成也萧何 ,成功和失败都与同一个人有关
远交近攻 ,联络距离远的国家，进攻邻近的国家||这是战国时秦国采取的一种外资策略||后也指待人处世的一种手段
一团漆黑 ,形容一片黑暗，没有一点光明||也形容对事情一无所知
怡然自乐 ,形容高兴而满足
毛手毛脚 ,做事粗心，不细致
惹火烧身 ,引火烧自己||比喻自找麻烦或自找苦吃
风急浪高 ,形容风浪很大
孤军深入 ,孤立无援的军队深入到敌作战区
天外有天 ,指某一境界之外更有无穷无尽的境界||多用来表示人的眼界受客观条件的限制，认识的领域需要不断扩大||也表示美好的境界阅历不尽
回眸一笑 ,转动眼珠，嫣然一笑||常用以形容女子妩媚的表情
莺飞草长 ,形容明媚的春景
好为人师 ,喜欢当别人的教师||形容不谦虚，自以为是，爱摆老资格
暧昧不明 ,指不清不楚，不明不白||形容态度不明朗，关系不鲜明
眉头一皱 ,略一思考，猛然想出了一个主意
人非圣贤 ,一般人不是圣人和贤人
尖酸刻薄 ,说话带刺，待人冷酷
落花流水 ,原形容暮春景色衰败||后常用来比喻被打得大败
耳听八方 ,耳朵同时察听各方面来的声音||形容人很机警
喜不自胜 ,喜欢得控制不了自己||形容非常高兴
望文生义 ,不了解某一词句的确切涵义，光从字面上去牵强附会，做出不确切的
情意绵绵 ,形容情意深长，不能解脱
遇水架桥 ,遇水阻拦，就架桥通过||形容不怕阻力，奋勇前进
自掘坟墓 ,自己的所作所为就象在替自己挖掘坟墓一样||比喻自寻死路
志得意满 ,志向实现，心满意足
半真半假 ,一半真情，一半假意||不是完全真实的
分化瓦解 ,使对方的力量分裂离散
人微言轻 ,地位低，说话不受人重视
一星半点 ,形容极少
不识时务 ,指不认识当前重要的事态和时代的潮流||现也指待人接物不知趣
心腹之患 ,比喻隐藏在内部的严重祸害||也泛指最大的隐患
才貌双全 ,才学相貌都好
天下无敌 ,普天之下，没有敌手||形容战无不胜，没有对手
穷奢极欲 ,奢侈和贪欲到了极点
有色眼镜 ,比喻看待人或事物所抱的成见
少不更事 ,年纪轻，没有经历过什么事情||指经验不多
外强中干 ,形容外表强壮，内里空虚
身首异处 ,指被杀头
冷若冰霜 ,冷得象冰霜一样||比喻待人接物毫无感情，象冰霜一样冷||也比喻态度严正，不可接近
特立独行 ,形容人的志行高洁，不同流俗
同床共枕 ,指同床并头而眠||多指夫妻生活
一拥而入 ,一下子全都拥了进去，挤了进去
养兵千日 ,长期积蓄力量，在关键时刻发挥效用
妙笔生花 ,比喻杰出的写作才能
破罐破摔 ,把破损的罐子摔破||比喻有了缺点、错误不改正，反而有意向更坏的方向发展
牛鬼蛇神 ,牛头的鬼，蛇身的神||原形容虚幻怪诞||后比喻社会上形形色色的坏人
劳苦功高 ,出了很多力，吃了很多苦，立下了很大的功劳
以卵击石 ,拿蛋去碰石头||比喻不估计自己的力量，自取灭亡
兵强马壮 ,兵力强盛，战马健壮||形容军队实力强，富有战斗力
有案可查 ,指有证据可查
大显神通 ,后指特别高超的本领||形容充分显示出高明的本领
沃野千里 ,形容肥沃的土地极为宽广
反躬自问 ,回过头来检查自己的言行得失
不顾大局 ,不考虑整个局面或形势
话中有话 ,话里含有别的意思
利害得失 ,好处和坏处，得益和损失
坚壁清野 ,对付强敌入入侵的一种方法||使敌人既攻不下据点，又抢不到物资
千叮万嘱 ,再三再四地嘱咐||表示对嘱咐的事情极重视
精卫填海 ,精卫衔来木石，决心填平大海||旧时比喻仇恨极深，立志报复||后比喻意志坚决，不畏艰难
人言可畏 ,指在背后的议论或诬蔑的话很可怕
一片汪洋 ,形容水面辽阔，水势浩大
